announcement_id,created_at,overview_id,updated_at,apply_method,content,target
48,2025-08-23 08:21:38.156970,38,2025-08-25 19:19:01.248175,모바일,전세,무주택자
49,2024-04-08 07:31:40.561579,39,2024-04-13 21:05:16.715650,우편,임대,일반
50,2025-03-01 22:10:03.411519,40,2025-03-03 04:35:22.739903,모바일,행복주택,고령자
52,2024-02-05 04:47:58.253209,41,2024-02-09 20:10:16.147526,방문,임대,청년
53,2024-06-06 10:14:26.954564,42,2024-06-09 02:21:54.093464,방문,전세,무주택자
54,2024-06-11 19:47:34.782883,43,2024-06-12 07:16:26.752982,인터넷,분양,청년
56,2025-11-01 04:52:07.270365,44,2025-11-05 19:08:54.750799,모바일,매입임대,일반
57,2025-03-26 08:48:01.443303,45,2025-03-27 11:00:27.892618,인터넷,임대,신혼부부
58,2025-04-01 16:51:09.056644,46,2025-04-02 17:57:02.316656,방문,분양,청년
59,2025-10-16 02:23:12.454506,47,2025-10-17 14:27:01.777273,우편,임대,무주택자
60,2025-02-18 05:32:08.946609,48,2025-02-18 06:09:39.825670,모바일,분양,일반
61,2025-10-06 18:52:34.609831,49,2025-10-07 04:29:07.703125,모바일,분양,신혼부부
62,2024-05-14 04:41:27.763830,50,2024-05-14 21:03:06.911568,우편,매입임대,무주택자
63,2024-06-23 08:26:11.433098,51,2024-06-24 11:40:29.752206,모바일,매입임대,고령자
64,2024-08-01 11:56:50.146448,52,2024-08-09 06:08:44.291543,우편,매입임대,청년
65,2025-05-14 09:19:36.734719,53,2025-05-15 02:52:56.037517,모바일,행복주택,고령자
66,2024-09-20 04:00:08.794299,54,2024-09-20 15:07:20.268141,인터넷,전세,청년
69,2024-10-17 06:54:52.697484,55,2024-10-19 03:40:30.466099,방문,임대,고령자
74,2024-01-30 09:24:08.812121,56,2024-02-03 16:41:04.095011,인터넷,임대,일반
76,2024-06-10 02:45:18.825746,57,2024-06-17 02:14:35.156845,우편,매입임대,고령자
77,2024-10-10 18:04:33.060957,58,2024-10-19 12:56:59.622308,우편,분양,청년
78,2024-02-26 09:47:46.356759,59,2024-02-26 10:04:47.128716,우편,전세,청년
79,2024-01-20 18:09:17.170062,60,2024-01-21 05:22:17.092700,방문,매입임대,일반
80,2024-05-29 16:13:42.751882,61,2024-05-30 02:06:23.325387,방문,매입임대,고령자
81,2024-07-18 08:21:02.309318,62,2024-07-18 08:30:05.188586,모바일,전세,일반
83,2024-06-10 16:05:02.156226,63,2024-06-19 01:09:46.784933,모바일,분양,고령자
85,2024-07-09 08:39:13.455842,64,2024-07-25 10:08:35.929781,모바일,임대,신혼부부
86,2024-05-16 04:24:56.992076,65,2024-05-24 05:12:12.162689,우편,분양,청년
90,2024-07-12 00:29:02.831975,66,2024-07-26 00:02:44.087604,인터넷,행복주택,신혼부부
92,2025-09-15 01:30:29.290682,67,2025-09-15 06:43:04.157500,방문,전세,고령자
93,2025-02-04 09:29:10.107658,68,2025-02-08 21:18:18.716510,우편,행복주택,신혼부부
97,2025-12-23 15:52:54.221514,69,2025-12-25 20:09:16.612936,인터넷,행복주택,일반
99,2023-12-29 20:05:31.699137,70,2023-12-31 05:26:50.602145,우편,전세,일반
101,2024-05-07 15:03:41.959107,71,2024-05-08 06:40:57.322214,방문,분양,청년
102,2024-07-28 01:02:45.222788,72,2024-08-01 15:10:20.756592,우편,매입임대,무주택자
103,2024-12-27 10:32:23.484566,73,2024-12-29 08:06:59.280767,모바일,행복주택,신혼부부
105,2025-07-16 04:55:17.797215,74,2025-07-17 08:26:38.642682,인터넷,전세,일반
106,2024-10-17 22:14:14.613852,75,2024-10-27 04:01:39.144587,우편,임대,무주택자
107,2025-10-22 02:16:06.338365,76,2025-10-25 22:51:00.498371,우편,전세,청년
111,2025-04-03 11:19:54.954348,77,2025-04-11 04:23:02.608293,우편,분양,일반
112,2025-03-31 18:31:08.567797,78,2025-04-02 19:50:33.756820,모바일,전세,일반
113,2024-01-01 05:19:12.300827,79,2024-01-02 16:07:25.369922,모바일,매입임대,신혼부부
114,2024-03-04 11:10:15.934937,80,2024-03-07 08:52:16.588168,인터넷,매입임대,무주택자
115,2024-12-14 00:01:32.347781,81,2024-12-24 19:21:39.579096,인터넷,임대,일반
117,2024-08-08 18:36:07.347251,82,2024-08-13 08:54:26.874854,우편,매입임대,일반
118,2025-12-04 03:18:02.489317,83,2025-12-04 03:35:00.637949,방문,분양,일반
120,2024-04-17 12:21:57.723262,84,2024-04-20 21:34:40.966259,방문,임대,청년
121,2024-12-08 00:58:04.334946,85,2024-12-08 12:31:14.737648,인터넷,임대,청년
126,2025-10-27 02:48:29.076342,86,2025-11-02 10:34:29.959947,방문,행복주택,고령자
127,2024-02-06 08:51:00.594617,87,2024-02-11 04:03:53.503544,인터넷,분양,무주택자
128,2024-05-30 00:02:46.177279,88,2024-06-02 08:57:07.141321,우편,매입임대,일반
130,2023-12-29 17:00:53.441628,89,2023-12-29 19:00:46.696762,우편,전세,고령자
132,2025-03-24 00:20:17.341330,90,2025-03-25 12:10:05.670666,인터넷,임대,청년
133,2025-07-25 20:03:44.568655,91,2025-07-26 03:30:23.335187,모바일,전세,신혼부부
134,2024-01-19 21:21:46.003879,92,2024-01-20 12:48:13.672665,우편,행복주택,청년
135,2024-10-20 20:43:58.843092,93,2024-10-22 03:14:27.858784,우편,매입임대,일반
137,2025-07-12 20:41:56.434728,94,2025-07-13 02:50:46.552216,인터넷,전세,신혼부부
139,2025-08-10 17:29:34.425908,95,2025-08-10 21:38:16.045763,우편,전세,고령자
141,2024-12-15 16:07:26.799113,96,2024-12-18 15:59:33.321363,인터넷,임대,고령자
144,2024-04-16 16:59:50.170510,97,2024-04-20 04:02:58.785012,우편,행복주택,무주택자
145,2025-01-07 14:02:54.415284,98,2025-01-07 14:25:55.232690,인터넷,매입임대,신혼부부
146,2025-04-21 11:26:10.642297,99,2025-04-21 21:41:10.249642,우편,분양,일반
147,2024-08-13 21:30:01.899406,100,2024-08-19 08:38:30.924858,방문,행복주택,청년
148,2025-10-14 00:29:32.236151,101,2025-10-14 17:04:04.889658,인터넷,전세,신혼부부
149,2025-01-13 01:08:37.524467,102,2025-01-13 14:40:14.833320,모바일,행복주택,고령자
150,2024-07-20 23:16:39.600780,103,2024-07-21 09:00:07.787281,모바일,임대,일반
151,2024-02-27 12:16:39.388411,104,2024-03-10 20:58:53.870255,인터넷,행복주택,신혼부부
152,2024-02-17 05:50:52.165112,105,2024-02-17 18:08:07.749761,우편,행복주택,신혼부부
153,2025-10-23 18:34:26.972610,106,2025-10-29 08:57:55.570917,인터넷,분양,신혼부부
154,2024-10-22 16:12:28.441233,107,2024-10-31 21:24:11.927698,모바일,행복주택,무주택자
155,2024-07-06 05:35:55.932190,108,2024-07-13 00:10:26.185484,우편,전세,무주택자
158,2024-12-12 14:19:09.177667,109,2024-12-12 14:56:05.364102,인터넷,전세,일반
159,2024-08-14 22:11:12.543304,110,2024-08-15 16:28:04.771082,모바일,행복주택,신혼부부
160,2025-06-24 18:38:14.020074,111,2025-06-24 20:49:58.581038,인터넷,행복주택,무주택자
164,2025-05-21 20:43:26.649133,112,2025-05-22 07:28:52.027362,인터넷,전세,일반
168,2024-02-28 07:05:31.759529,113,2024-02-28 19:43:20.242848,우편,매입임대,무주택자
169,2025-05-30 06:30:28.233589,114,2025-06-08 02:49:19.865299,방문,전세,고령자
172,2024-02-02 11:01:42.742880,115,2024-02-03 02:39:18.384066,모바일,임대,무주택자
173,2024-06-21 03:35:42.773978,116,2024-06-21 04:07:09.101355,모바일,전세,청년
174,2024-06-15 21:52:00.299740,117,2024-06-16 00:55:56.316890,모바일,전세,청년
175,2025-01-08 01:30:42.054612,118,2025-01-08 18:09:53.146978,모바일,매입임대,무주택자
176,2024-08-11 16:43:37.362859,119,2024-08-14 21:43:51.409613,방문,전세,일반
178,2024-02-04 14:25:55.856313,120,2024-02-08 12:44:52.409303,모바일,매입임대,신혼부부
179,2024-09-16 23:01:05.760764,121,2024-09-17 08:03:25.956016,인터넷,임대,일반
180,2025-10-17 02:12:28.682991,122,2025-10-17 02:39:14.034930,인터넷,행복주택,청년
182,2025-09-26 13:30:00.739560,123,2025-09-27 14:06:23.012785,우편,전세,일반
183,2025-02-03 17:57:54.733044,124,2025-02-18 22:57:20.768587,방문,임대,신혼부부
184,2025-10-17 06:18:13.863843,125,2025-10-21 13:53:49.766857,인터넷,전세,고령자
185,2024-07-30 05:28:39.028781,126,2024-07-31 15:56:47.368380,우편,임대,무주택자
186,2025-09-05 21:37:59.269074,127,2025-09-09 05:06:26.221367,우편,매입임대,신혼부부
188,2025-12-11 08:28:11.505315,128,2025-12-11 17:17:23.559917,우편,임대,신혼부부
189,2024-12-20 06:43:02.977064,129,2024-12-21 00:39:33.900197,모바일,행복주택,무주택자
192,2024-07-18 02:05:42.131312,130,2024-07-18 21:27:53.555377,인터넷,전세,일반
193,2025-11-01 12:36:10.721386,131,2025-11-01 23:29:24.342956,모바일,전세,일반
194,2024-10-15 13:43:22.412213,132,2024-10-16 04:05:10.683468,인터넷,분양,고령자
195,2024-07-30 12:27:51.783698,133,2024-08-22 08:53:44.206130,우편,전세,일반
196,2025-05-12 00:29:49.877532,134,2025-05-15 05:13:40.635592,방문,임대,청년
198,2024-08-01 14:22:13.443368,135,2024-08-12 15:24:56.700026,인터넷,매입임대,무주택자
199,2025-01-02 19:57:07.044021,136,2025-01-05 10:54:19.685953,모바일,행복주택,청년
200,2024-07-19 15:59:23.492001,137,2024-07-20 20:43:33.009901,우편,매입임대,고령자
201,2024-06-23 14:12:40.035133,138,2024-06-29 18:53:21.036679,방문,분양,신혼부부
203,2025-12-11 06:51:12.730385,139,2025-12-11 09:24:27.337170,방문,전세,일반
204,2024-05-27 12:10:41.986925,140,2024-05-31 11:09:57.674865,방문,매입임대,일반
205,2024-09-07 18:24:58.004329,141,2024-09-11 23:55:14.407359,방문,전세,청년
206,2025-10-15 19:45:00.685462,142,2025-10-19 09:13:31.992740,방문,행복주택,고령자
208,2024-07-01 20:08:23.120927,143,2024-07-06 08:57:49.365943,모바일,임대,일반
210,2023-12-13 08:09:46.657502,144,2023-12-20 14:40:44.704320,우편,행복주택,일반
211,2025-05-18 11:24:35.989432,145,2025-06-09 09:28:14.596118,모바일,임대,일반
212,2024-08-10 17:37:35.225089,146,2024-08-16 02:32:03.735351,방문,전세,신혼부부
213,2024-11-07 12:00:19.338489,147,2024-11-07 13:37:25.914598,인터넷,행복주택,신혼부부
214,2024-01-04 09:24:03.487251,148,2024-01-04 14:25:35.102925,방문,분양,신혼부부
215,2025-07-01 03:12:49.633868,149,2025-07-17 09:59:34.238630,모바일,분양,무주택자
216,2024-03-15 01:49:34.655339,150,2024-03-18 23:32:47.359062,인터넷,매입임대,청년
217,2024-06-18 07:31:06.851359,151,2024-06-21 17:26:26.962917,모바일,매입임대,무주택자
218,2024-06-28 22:08:48.827476,152,2024-07-03 14:59:00.087276,방문,행복주택,청년
220,2024-12-06 17:51:30.523339,153,2024-12-08 04:37:16.391278,우편,매입임대,청년
221,2025-05-06 05:14:01.133612,154,2025-05-08 17:52:43.820970,모바일,행복주택,신혼부부
222,2024-01-13 19:15:33.581831,155,2024-02-03 09:43:35.208275,모바일,행복주택,신혼부부
223,2023-11-11 16:03:44.635607,156,2023-11-11 16:28:41.540141,인터넷,분양,일반
224,2024-08-06 09:00:29.827665,157,2024-08-07 09:17:29.651670,인터넷,전세,신혼부부
225,2026-01-15 01:05:08.514952,158,2026-01-19 02:20:59.524415,방문,전세,무주택자
226,2025-12-12 00:14:16.748613,159,2025-12-16 17:48:28.865609,인터넷,전세,신혼부부
229,2023-12-07 06:44:25.639705,160,2023-12-07 07:07:09.387821,모바일,매입임대,무주택자
230,2025-10-30 20:22:15.506190,161,2025-11-02 06:26:56.191792,우편,임대,고령자
231,2025-08-06 02:48:48.616148,162,2025-08-07 03:12:10.496752,모바일,분양,일반
232,2025-09-05 14:12:27.716755,163,2025-09-06 03:01:07.505662,모바일,매입임대,무주택자
233,2024-06-09 09:36:17.997757,164,2024-06-11 12:28:37.897891,우편,임대,무주택자
234,2024-10-27 16:33:36.866561,165,2024-10-30 05:07:59.505607,방문,전세,신혼부부
235,2025-06-29 13:00:48.363978,166,2025-07-08 02:53:36.222114,인터넷,행복주택,신혼부부
236,2024-04-04 21:50:38.071140,167,2024-04-09 22:01:22.063770,방문,전세,신혼부부
238,2024-12-23 02:44:51.910497,168,2024-12-29 18:27:52.704797,우편,임대,청년
239,2025-08-19 10:27:16.686239,169,2025-08-29 10:06:17.181476,방문,임대,일반
241,2024-10-10 11:00:45.889523,170,2024-10-10 16:35:12.578042,모바일,임대,신혼부부
242,2024-05-21 02:31:01.095197,171,2024-06-01 02:17:03.984599,인터넷,임대,신혼부부
244,2024-04-26 01:31:34.351132,172,2024-05-06 19:00:53.160976,방문,임대,신혼부부
246,2024-04-27 05:25:54.871656,173,2024-04-28 04:08:10.360093,우편,매입임대,일반
248,2024-12-03 13:42:21.376495,174,2024-12-04 10:52:12.502617,인터넷,분양,무주택자
250,2025-08-16 22:58:36.388443,175,2025-08-17 11:20:25.636725,우편,전세,고령자
255,2024-09-03 23:22:45.934884,176,2024-09-07 04:50:00.045969,모바일,분양,일반
256,2023-11-15 01:03:22.734285,177,2023-11-15 01:20:05.268546,방문,분양,청년
257,2025-04-07 13:30:45.125882,178,2025-04-10 09:33:49.094274,방문,전세,무주택자
258,2024-12-13 20:17:09.076996,179,2024-12-13 21:53:42.492240,방문,전세,고령자
259,2024-09-26 17:43:23.114261,180,2024-09-26 17:56:37.084010,우편,전세,무주택자
260,2024-02-23 10:15:29.044106,181,2024-03-02 06:10:55.016599,모바일,전세,청년
261,2025-12-05 00:08:41.509906,182,2025-12-11 07:31:32.356963,우편,매입임대,고령자
262,2024-07-12 12:33:51.672754,183,2024-07-15 15:36:21.789388,방문,분양,청년
263,2025-05-11 13:54:32.662720,184,2025-05-16 09:46:50.398965,방문,임대,청년
264,2024-12-07 09:30:19.884523,185,2024-12-08 09:45:38.764436,우편,전세,청년
266,2024-11-18 21:35:55.901488,186,2024-11-27 08:03:43.590396,모바일,매입임대,청년
267,2024-07-15 21:37:44.932952,187,2024-07-25 06:34:35.133327,우편,임대,고령자
269,2025-02-09 13:40:35.056405,188,2025-02-09 19:11:39.546786,방문,전세,고령자
270,2025-05-28 00:10:43.464602,189,2025-05-28 13:44:52.348007,모바일,분양,일반
271,2025-01-01 18:59:09.643680,190,2025-01-05 03:11:43.452917,우편,매입임대,무주택자
272,2025-08-06 08:43:37.601066,191,2025-08-12 17:00:37.432552,모바일,임대,무주택자
273,2024-08-10 15:19:58.105281,192,2024-08-15 17:52:45.344515,방문,행복주택,무주택자
274,2024-09-12 05:08:27.415036,193,2024-09-12 07:24:59.724021,방문,매입임대,일반
276,2025-05-20 14:03:23.535405,194,2025-05-21 11:53:59.453225,방문,전세,청년
277,2025-06-05 14:56:45.768756,195,2025-06-06 22:24:33.263836,방문,매입임대,고령자
280,2024-08-23 20:55:09.818674,196,2024-08-26 05:19:58.889602,방문,임대,일반
281,2024-10-22 15:46:40.117663,197,2024-10-23 18:23:33.834684,방문,매입임대,무주택자
282,2024-06-09 16:29:30.026557,198,2024-06-26 10:51:23.720961,모바일,전세,고령자
283,2025-03-11 13:20:47.737312,199,2025-03-24 22:33:48.061631,우편,분양,청년
284,2024-03-07 17:44:19.548585,200,2024-03-08 04:13:57.242532,모바일,임대,청년
286,2024-09-10 14:04:21.077021,201,2024-09-12 02:51:58.739157,인터넷,행복주택,고령자
287,2025-07-06 14:55:03.772544,202,2025-07-12 20:38:19.179320,방문,전세,청년
288,2025-05-01 22:32:35.667400,203,2025-05-11 10:41:29.850979,인터넷,전세,고령자
289,2024-01-20 10:03:08.372292,204,2024-01-22 19:41:28.284881,방문,분양,일반
290,2025-05-11 07:54:10.854552,205,2025-05-15 01:02:19.686186,인터넷,전세,청년
292,2024-07-16 12:33:56.778343,206,2024-07-16 17:13:49.801608,우편,분양,고령자
293,2024-11-04 17:20:34.161897,207,2024-11-08 10:37:08.752866,방문,임대,고령자
294,2025-11-13 17:45:30.365859,208,2025-11-22 02:25:07.138626,방문,행복주택,일반
295,2025-08-23 11:41:23.951221,209,2025-08-23 22:16:52.049572,인터넷,임대,고령자
296,2024-03-29 12:56:03.177467,210,2024-03-29 21:05:53.139291,인터넷,행복주택,신혼부부
297,2024-12-09 08:16:47.326844,211,2024-12-16 08:56:30.956066,방문,매입임대,고령자
299,2025-03-05 21:54:09.798391,212,2025-03-06 07:47:47.534428,인터넷,임대,일반
300,2025-01-22 19:00:36.592258,213,2025-01-24 04:50:35.848927,인터넷,행복주택,청년
301,2025-10-08 00:04:23.837316,214,2025-10-10 07:00:52.745453,인터넷,분양,고령자
302,2024-02-17 10:34:27.450220,215,2024-02-17 19:35:32.664046,우편,전세,신혼부부
305,2025-08-21 06:26:25.823443,216,2025-08-27 05:15:16.582598,인터넷,임대,일반
306,2025-10-06 00:19:58.084706,217,2025-10-06 21:04:06.536352,인터넷,전세,신혼부부
309,2025-07-22 23:33:17.094634,218,2025-07-24 19:37:46.816605,모바일,임대,무주택자
310,2025-12-19 04:00:48.042757,219,2025-12-19 17:26:14.762319,인터넷,전세,무주택자
311,2025-09-18 17:03:32.330687,220,2025-09-23 08:51:28.854725,모바일,임대,일반
315,2024-04-20 12:39:53.854746,221,2024-04-22 11:55:55.882304,모바일,전세,무주택자
316,2024-11-09 15:29:02.230264,222,2024-11-09 17:43:37.931718,인터넷,전세,청년
318,2024-06-15 08:30:49.683315,223,2024-06-17 05:20:52.222918,우편,매입임대,무주택자
319,2025-02-18 00:25:38.504491,224,2025-02-18 01:03:50.293100,방문,분양,무주택자
320,2025-07-04 05:17:00.919503,225,2025-07-04 13:06:49.849520,모바일,분양,청년
321,2024-07-06 17:52:20.621170,226,2024-07-08 12:43:36.817364,인터넷,분양,무주택자
322,2024-12-30 16:06:13.841002,227,2025-01-03 18:42:51.198175,우편,임대,무주택자
326,2023-12-24 02:46:10.090074,228,2023-12-26 23:21:15.315759,모바일,전세,신혼부부
327,2025-10-30 10:05:57.370655,229,2025-11-02 13:09:48.537918,우편,전세,신혼부부
328,2024-12-01 02:53:12.148816,230,2024-12-01 22:35:46.062639,인터넷,전세,신혼부부
329,2024-10-21 19:14:38.289904,231,2024-10-21 23:03:23.932438,방문,임대,일반
330,2025-08-16 05:25:12.873746,232,2025-08-16 05:29:14.205847,모바일,임대,일반
331,2024-09-06 06:58:32.327123,233,2024-09-06 07:15:45.836366,우편,전세,일반
332,2025-03-25 18:04:53.542823,234,2025-03-28 05:12:20.361711,우편,전세,고령자
334,2025-06-07 06:56:25.287999,235,2025-06-12 08:07:36.891258,방문,전세,일반
335,2024-10-28 05:40:03.800447,236,2024-10-28 07:03:39.264972,우편,임대,고령자
336,2025-11-17 22:34:08.671916,237,2025-11-18 14:36:12.408363,방문,행복주택,고령자
339,2024-12-30 19:10:16.447390,238,2024-12-31 08:03:00.514047,방문,행복주택,신혼부부
340,2024-07-22 07:11:02.681283,239,2024-07-22 07:39:37.233116,모바일,분양,일반
341,2024-10-01 21:33:44.335504,240,2024-10-10 13:51:19.903999,방문,매입임대,무주택자
342,2025-04-08 09:53:19.265034,241,2025-04-09 10:42:23.878778,우편,매입임대,청년
343,2024-09-13 16:25:22.517120,242,2024-09-13 17:58:09.172931,우편,분양,청년
345,2024-03-19 12:12:49.371550,243,2024-03-19 16:29:52.156280,모바일,매입임대,무주택자
346,2025-07-06 00:59:06.273940,244,2025-07-10 14:28:09.156612,인터넷,분양,신혼부부
347,2025-12-12 17:35:32.798816,245,2025-12-24 16:19:40.723234,우편,분양,무주택자
348,2024-10-28 08:22:55.930169,246,2024-11-03 20:45:23.659811,인터넷,행복주택,일반
350,2024-04-25 18:07:07.494634,247,2024-05-03 00:57:39.993607,방문,분양,신혼부부
351,2025-03-24 00:39:45.019764,248,2025-03-24 11:21:53.136192,방문,임대,청년
352,2023-12-22 07:08:05.825724,249,2023-12-29 15:28:50.688498,방문,매입임대,무주택자
353,2024-12-23 23:55:06.039621,250,2024-12-24 00:33:18.502306,우편,임대,무주택자
354,2024-03-02 05:17:36.605700,251,2024-03-17 18:21:16.384926,인터넷,전세,일반
355,2024-04-01 18:38:46.963893,252,2024-04-02 17:22:42.114556,우편,전세,고령자
356,2025-09-13 20:09:01.418207,253,2025-09-14 07:55:21.018956,방문,행복주택,고령자
358,2025-01-02 14:42:03.394290,254,2025-01-05 13:48:05.084064,인터넷,매입임대,고령자
359,2024-10-07 01:17:27.573074,255,2024-10-07 12:39:18.970361,방문,매입임대,무주택자
360,2024-05-16 01:22:11.547259,256,2024-05-16 14:29:57.553827,우편,전세,일반
361,2024-11-17 13:05:07.011286,257,2024-11-23 12:12:19.642253,인터넷,임대,청년
362,2024-02-12 22:33:17.895165,258,2024-02-23 08:23:33.505326,인터넷,전세,청년
364,2025-06-25 20:24:03.413987,259,2025-06-26 04:12:26.275502,인터넷,매입임대,일반
367,2025-01-21 13:25:41.140299,260,2025-01-21 14:48:37.765021,방문,전세,일반
368,2024-08-02 19:33:47.854222,261,2024-08-02 23:26:16.980157,방문,매입임대,고령자
369,2024-01-07 23:27:35.662741,262,2024-01-08 02:55:31.242495,인터넷,임대,신혼부부
371,2024-07-18 08:36:05.362098,263,2024-07-20 22:31:20.151044,우편,전세,청년
372,2024-11-16 18:22:54.611850,264,2024-11-24 09:35:28.287504,우편,분양,신혼부부
375,2025-02-10 12:19:01.758975,265,2025-02-12 12:52:05.875453,우편,매입임대,무주택자
378,2024-03-07 00:39:11.616103,266,2024-03-10 22:24:50.316555,우편,분양,신혼부부
379,2024-11-06 19:40:07.421681,267,2024-11-12 00:33:24.827949,우편,분양,무주택자
381,2024-12-03 23:01:33.716205,268,2024-12-04 00:25:11.111126,인터넷,분양,일반
383,2024-08-13 16:33:30.626617,269,2024-08-16 21:11:51.699392,우편,매입임대,일반
384,2024-01-16 22:29:14.160571,270,2024-01-17 19:29:09.168624,모바일,행복주택,일반
385,2024-04-24 00:59:02.894127,271,2024-04-24 07:07:13.353543,모바일,분양,신혼부부
387,2024-04-22 00:05:53.082741,272,2024-04-22 11:53:50.530404,우편,전세,청년
388,2024-10-02 03:46:47.551902,273,2024-10-03 10:55:09.585115,우편,행복주택,신혼부부
389,2025-02-01 15:34:55.749031,274,2025-02-04 04:42:20.002230,방문,분양,무주택자
390,2024-07-22 03:14:41.587413,275,2024-07-22 06:42:45.179347,우편,행복주택,일반
391,2025-06-12 07:53:16.507609,276,2025-06-19 23:23:36.361785,모바일,행복주택,신혼부부
392,2024-05-25 21:58:46.404250,277,2024-05-30 05:04:47.540735,인터넷,임대,고령자
393,2024-10-25 07:07:32.508010,278,2024-10-29 17:03:54.105220,인터넷,매입임대,신혼부부
395,2025-05-06 06:54:04.494802,279,2025-05-06 18:12:52.393584,모바일,행복주택,일반
396,2024-04-04 21:16:19.520638,280,2024-04-05 22:52:20.639923,우편,행복주택,일반
397,2025-09-24 05:42:19.639446,281,2025-09-24 06:43:08.925153,모바일,매입임대,고령자
398,2025-05-03 22:15:49.384207,282,2025-05-05 12:23:44.420370,방문,전세,청년
401,2025-11-09 20:26:08.835549,283,2025-11-09 23:17:06.274009,인터넷,매입임대,청년
402,2024-10-19 22:38:57.690366,284,2024-10-21 21:24:00.866672,모바일,전세,신혼부부
404,2024-03-10 07:51:16.524137,285,2024-03-10 18:28:50.010963,모바일,전세,무주택자
405,2024-03-14 22:01:19.610288,286,2024-03-17 22:44:33.816928,우편,전세,일반
406,2024-11-25 07:36:34.076516,287,2024-11-25 08:56:28.815450,방문,전세,일반
408,2024-02-03 08:51:27.367194,288,2024-02-07 06:15:05.535390,모바일,매입임대,신혼부부
409,2024-05-04 05:08:32.074286,289,2024-05-05 02:02:07.495718,인터넷,행복주택,청년
410,2024-08-18 03:00:46.772719,290,2024-08-21 19:45:40.923075,방문,분양,신혼부부
411,2024-07-20 01:41:16.406132,291,2024-07-23 01:48:42.339099,인터넷,행복주택,고령자
412,2023-12-18 11:16:25.045482,292,2023-12-23 09:01:45.997754,우편,전세,청년
